id,sqe_master_id,roi_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,Commentary
,,1,02_Frg_1_a_ROI.tif:1627-3862:1,624,49.835,21,66,3808,1655,24,26,0.784,1.083,0.923,1,1,,נ,,,,,,1,,damaged,,,This is a test
,,2,02_Frg_1_a_ROI.tif:1619-3771:1,2052,49.484,11,69,3776,1610,27,76,0.608,2.815,0.355,1,2,,י,,,,,,1,,damaged,,,
,,3,02_Frg_1_a_ROI.tif:1646-3730:1,4130,59.501,41,83,3717,1633,59,70,0.78,1.186,0.843,1,3,,20,,,,,,1,,,,,
,,4,02_Frg_1_a_ROI.tif:1657-3678:1,9870,41.815,16,71,3623,1594,94,105,0.783,1.117,0.895,1,4,,א,,,,,,1,,,,,
,,5,02_Frg_1_a_ROI.tif:1652-3591:1,5247,34.055,15,59,3565,1586,53,99,0.713,1.868,0.535,1,5,,ו,,,,,,1,,,,,
,,6,02_Frg_1_a_ROI.tif:1649-3524:1,14729,37.245,11,67,3473,1578,103,143,0.765,1.388,0.72,1,6,,ר,,,,,,1,,,,,
,,7,02_Frg_1_a_ROI.tif:1604-3445:1,8400,47.213,24,69,3415,1534,60,140,0.66,2.333,0.429,1,7,,20,,,,,,1,,,,,
,,8,02_Frg_1_a_ROI.tif:1487-3378:1,5917,48.116,8,72,3354,1487,61,97,0.745,1.59,0.629,1,8,,ל,,,,,,1,,damaged,,,
,,9,02_Frg_1_a_ROI.tif:1565-3275:1,5733,39.689,8,63,3305,1513,49,117,0.654,2.388,0.419,1,9,,ה,,,,,,1,,damaged,,1,
,,10,02_Frg_1_a_ROI.tif:1564-3144:4,2263,76.351,48,134,3196,1571,31,73,0.657,2.355,0.425,1,9,,ה,,,,,,1,,damaged,,1,
,,137,02_Frg_1_a_ROI.tif:1593-3144:4,6734,73.527,40,145,3107,1548,74,91,0.777,1.23,0.813,1,10,,נ,,,,,,1,,,,,
,,11,02_Frg_1_a_ROI.tif:1564-3083:4,3298,75.529,49,155,3075,1545,34,97,0.604,2.853,0.351,1,11,,ז,,,,,,1,,damaged,,,
,,12,02_Frg_1_a_ROI.tif:1554-3011:1,3248,44.528,8,82,3023,1573,29,112,0.513,3.862,0.259,1,12,,ר,,,,,,1,,damaged,,,
,,13,02_Frg_1_a_ROI.tif:1557-2950:4,580,60.15,38,146,2895,1576,145,4,0.082,36.25,0.028,1,13,,—,,,,,,1,,lacuna,,,
,,14,02_Frg_1_a_ROI.tif:1553-2875:1,17612,40.344,6,81,2816,1479,119,148,0.776,1.244,0.804,1,14,,מ,,,,,,1,,damaged,,,"The character is washed out in the new IAA images {{link: cube}}, whereas the older PAM Images the characters are legible."
,,15,02_Frg_1_a_ROI.tif:1548-2768:1,15768,45.888,15,79,2714,1475,108,146,0.768,1.352,0.74,1,15,,ד,,,,,,1,,damaged,,,
,,16,02_Frg_1_a_ROI.tif:1537-2667:1,17632,51.586,18,162,2609,1461,116,152,0.771,1.31,0.763,1,16,,ר,,,,,,1,,damaged,,,
,,17,02_Frg_1_a_ROI.tif:1545-2558:1,15744,49.411,8,83,2510,1463,96,164,0.732,1.708,0.585,1,17,,כ,,,,,,1,,damaged,,,
,,18,02_Frg_1_a_ROI.tif:1833-3980-18:4,7632,70.268,41,138,3925,1784,72,106,0.757,1.472,0.679,1,18,,ע,,,,,,2,,damaged,,,
,,19,02_Frg_1_a_ROI.tif:1851-3884-19:1,14616,45.826,19,83,3820,1793,116,126,0.784,1.086,0.921,1,19,,ד,,,,,,2,,damaged,,,
,,20,02_Frg_1_a_ROI.tif:1856-3813-20:4,4521,65.845,39,160,3787,1788,33,137,0.491,4.152,0.241,1,20,,20,,,,,,2,,,,,
,,21,02_Frg_1_a_ROI.tif:1875-3743-21:4,13068,58.336,11,142,3688,1809,99,132,0.769,1.333,0.75,1,21,,ת,,,,,,2,,,,,
,,22,02_Frg_1_a_ROI.tif:1874-3659-22:4,6890,61.179,39,130,3625,1815,65,106,0.74,1.631,0.613,1,22,,ו,,,,,,2,,,,,
,,23,02_Frg_1_a_ROI.tif:1877-3559-23:4,21870,61.252,7,129,3476,1807,135,162,0.779,1.2,0.833,1,23,,ם,,,,,,2,,,,,
,,25,02_Frg_1_a_ROI.tif:1886-3457-25:4,2300,66.718,45,95,3426,1852,50,46,0.784,1.087,0.92,1,24,,20,,,,,,2,,,,,
,,24,02_Frg_1_a_ROI.tif:1735-3424-24:1,7520,30.009,9,60,3395,1709,94,80,0.78,1.175,0.851,1,25,,ה,,,,,,2,,supralinear,,,
,,26,02_Frg_1_a_ROI.tif:1862-3370-26:4,14410,65.62,32,166,3320,1798,110,131,0.779,1.191,0.84,1,26,,מ,,,,,,2,,,,,
,,27,02_Frg_1_a_ROI.tif:1859-3293:1,10080,33.596,12,58,3258,1787,70,144,0.691,2.057,0.486,1,27,,ו,,,,,,2,,damaged,,,
,,28,02_Frg_1_a_ROI.tif:1845-3212:1,14976,36.454,9,64,3164,1767,96,156,0.741,1.625,0.615,1,28,,ע,,,,,,2,,,,,
,,29,02_Frg_1_a_ROI.tif:1865-3120:1,14835,35.518,13,62,3063,1801,115,129,0.783,1.122,0.891,1,29,,ד,,,,,,2,,,,,
,,30,02_Frg_1_a_ROI.tif:1862-3028:1,9200,41.091,20,76,2988,1805,80,115,0.76,1.437,0.696,1,30,,20,,,,,,2,,,,,
,,31,02_Frg_1_a_ROI.tif:1849-2951:1,17255,33.672,10,77,2892,1777,119,145,0.778,1.218,0.821,1,31,,פ,,,,,,2,,,,,
,,32,02_Frg_1_a_ROI.tif:1888-2834:1,28575,31.502,12,66,2771,1776,127,225,0.725,1.772,0.564,1,32,,ק,,,,,,2,,,,,
,,33,02_Frg_1_a_ROI.tif:1852-2746:1,10140,27.579,11,45,2714,1774,65,156,0.652,2.4,0.417,1,33,,ו,,,,,,2,,,,,
,,34,02_Frg_1_a_ROI.tif:1871-2669:1,22680,29.214,11,60,2606,1781,126,180,0.761,1.429,0.7,1,34,,ד,,,,,,2,,,,,
,,35,02_Frg_1_a_ROI.tif:1877-2539:1,35376,38.534,11,77,2439,1789,201,176,0.782,1.142,0.876,1,35,,ה,,,,,,2,,,,,
,,36,02_Frg_1_a_ROI.tif:1868-2440:1,15531,51.414,16,77,2394,1785,93,167,0.722,1.796,0.557,1,36,,20,,,,,,2,,,,,
,,37,02_Frg_1_a_ROI.tif:1846-2343:1,22743,35.806,7,83,2277,1761,133,171,0.773,1.286,0.778,1,37,,ב,,,,,,2,,damaged,,,
,,38,02_Frg_1_a_ROI.tif:2204-4488:1,13905,30.637,6,75,4437,2137,103,135,0.771,1.311,0.763,1,38,,י,,,,,,3,,damaged,,,
,,39,02_Frg_1_a_ROI.tif:2214-4393:1,16905,43.671,8,91,4336,2141,115,147,0.774,1.278,0.782,1,39,,ד,,,,,,3,,damaged,,,
,,40,02_Frg_1_a_ROI.tif:2208-4337:1,6837,58.584,8,83,4311,2144,53,129,0.648,2.434,0.411,1,40,,20,,,,,,3,,,,,
,,41,02_Frg_1_a_ROI.tif:2182-4282:1,16074,46.209,7,85,4225,2112,114,141,0.777,1.237,0.809,1,41,,א,,,,,,3,,damaged,,,
,,42,02_Frg_1_a_ROI.tif:2084-4068:1,95632,40.774,6,87,3929,1912,278,344,0.777,1.237,0.808,1,42,,ל,,,,,,3,,damaged,,,
,,43,02_Frg_1_a_ROI.tif:2213-4007:1,26455,54.381,14,85,3915,2142,185,143,0.773,1.294,0.773,1,43,,20,,,,,,3,,,,,
,,44,02_Frg_1_a_ROI.tif:2227-3886:1,15544,41.602,14,63,3828,2160,116,134,0.781,1.155,0.866,1,44,,א,,,,,,3,,,,,
,,45,02_Frg_1_a_ROI.tif:2222-3758:1,17818,21.591,10,43,3699,2147,118,151,0.774,1.28,0.781,1,45,,ת,,,,,,3,,,,,
,,46,02_Frg_1_a_ROI.tif:2233-3688:1,12080,25.174,10,42,3648,2158,80,151,0.711,1.887,0.53,1,46,,20,,,,,,3,,,,,
,,47,02_Frg_1_a_ROI.tif:2226-3617:1,15400,23.73,12,42,3567,2149,100,154,0.75,1.54,0.649,1,47,,כ,,,,,,3,,,,,
,,48,02_Frg_1_a_ROI.tif:2217-3537:1,11109,22.904,12,49,3503,2137,69,161,0.66,2.333,0.429,1,48,,ו,,,,,,3,,,,,
,,49,02_Frg_1_a_ROI.tif:2138-3431:1,44608,29.461,11,78,3363,1974,136,328,0.651,2.412,0.415,1,49,,ל,,,,,,3,,,,,
,,133,02_Frg_1_a_ROI.tif:2221-3368:1,14104,24.287,13,46,3327,2135,82,172,0.687,2.098,0.477,1,50,,20,,,,,,8,,,,,
,,50,02_Frg_1_a_ROI.tif:2228-3269:1,19737,18.873,10,41,3205,2152,129,153,0.78,1.186,0.843,1,51,,מ,,,,,,3,,,,,
,,51,02_Frg_1_a_ROI.tif:2220-3176:1,19656,20.691,10,44,3113,2142,126,156,0.777,1.238,0.808,1,52,,ע,,,,,,3,,,,,
,,52,02_Frg_1_a_ROI.tif:2230-3038:1,24883,25.985,13,55,2955,2156,167,149,0.783,1.121,0.892,1,53,,ש,,,,,,3,,,,,
,,53,02_Frg_1_a_ROI.tif:2225-2937:1,13892,26.924,10,66,2891,2150,92,151,0.739,1.641,0.609,1,54,,י,,,,,,3,,,,,
,,54,02_Frg_1_a_ROI.tif:2108-2926:1,6862,30.237,12,69,2879,2072,94,73,0.773,1.288,0.777,1,55,,◦,,,,,,3,,,,,"PAM 42383 shows a mark above the {{char:yod}}. This is most likely a cancelation dot, which can be explained on the basis of syntax"
,,55,02_Frg_1_a_ROI.tif:2224-2831:1,24021,32.533,13,69,2753,2148,157,153,0.785,1.026,0.975,1,56,,ה,,,,,,3,,,,,
,,56,02_Frg_1_a_ROI.tif:2217-2696:1,12986,37.177,23,65,2653,2142,86,151,0.726,1.756,0.57,1,57,,20,,,,,,3,,,,,
,,57,02_Frg_1_a_ROI.tif:2117-2617:1,30456,26.822,10,57,2570,1955,94,324,0.548,3.447,0.29,1,58,,ל,,,,,,3,,,,,
,,58,02_Frg_1_a_ROI.tif:2205-2532:1,23520,25.891,8,57,2452,2132,160,147,0.784,1.088,0.919,1,59,,ה,,,,,,3,,,,,
,,59,02_Frg_1_a_ROI.tif:2206-2399:1,21175,29.864,9,66,2339,2119,121,175,0.759,1.446,0.691,1,60,,ב,,,,,,3,,,,,
,,60,02_Frg_1_a_ROI.tif:2199-2313:1,12956,37.654,11,71,2272,2120,82,158,0.707,1.927,0.519,1,61,,י,,,,,,3,,,,,
,,61,02_Frg_1_a_ROI.tif:2195-2257:1,9072,51.593,33,82,2230,2111,54,168,0.578,3.111,0.321,1,62,,20,,,,,,3,,,,,
,,62,02_Frg_1_a_ROI.tif:2174-2197:1,14448,47.068,18,82,2155,2088,84,172,0.693,2.048,0.488,1,63,,כ,,,,,,3,,damaged,,,
,,63,02_Frg_1_a_ROI.tif:2087-2115:1,22320,30.4,7,73,2070,1963,90,248,0.614,2.756,0.363,1,64,,ל,,,,,,3,,damaged,,,PAM 43281_Frg_1 has a bit of ink above the lower portion of ink. This would make sense if it were a Lamed. We changed to Lamed on 22.05.2018.
,,64,02_Frg_1_a_ROI.tif:2547-4610:1,28320,17.98,6,86,4530,2459,160,177,0.783,1.106,0.904,1,65,,◦,מ,,,,,3,,damaged,,,
,,65,02_Frg_1_a_ROI.tif:2462-4467:1,58400,38.919,7,152,4387,2280,160,365,0.666,2.281,0.438,1,66,,ל,,,,,,4,,,,,
,,66,02_Frg_1_a_ROI.tif:2560-4420:1,12986,27.96,7,77,4377,2485,86,151,0.726,1.756,0.57,1,67,,20,,,,,,4,,damaged,,,
,,67,02_Frg_1_a_ROI.tif:2565-4343:1,19305,39.87,7,85,4285,2483,117,165,0.763,1.41,0.709,1,68,,מ,,,,,,4,,,,,
,,68,02_Frg_1_a_ROI.tif:2559-4229:1,18724,50.379,22,74,4167,2484,124,151,0.778,1.218,0.821,1,69,,ס,,,,,,4,,damaged,,,
,,69,02_Frg_1_a_ROI.tif:2548-4128:1,15000,35.778,15,71,4078,2473,100,150,0.754,1.5,0.667,1,70,,י,,,,,,4,,,,,
,,70,02_Frg_1_a_ROI.tif:2564-4041:1,21735,29.392,15,58,3974,2484,135,161,0.779,1.193,0.839,1,71,,ג,,,,,,4,,,,,
,,71,02_Frg_1_a_ROI.tif:2548-3933:1,13376,31.539,15,58,3889,2472,88,152,0.73,1.727,0.579,1,72,,י,,,,,,4,,,,,
,,72,02_Frg_1_a_ROI.tif:2581-3872:1,12710,32.173,21,54,3831,2504,82,155,0.711,1.89,0.529,1,73,,20,,,,,,4,,,,,
,,73,02_Frg_1_a_ROI.tif:2583-3798:1,22194,33.119,19,58,3730,2502,137,162,0.78,1.182,0.846,1,74,,ג,,,,,,4,,,,,
,,74,02_Frg_1_a_ROI.tif:2578-3673:1,19656,27.64,14,54,3610,2500,126,156,0.777,1.238,0.808,1,75,,ב,,,,,,4,,,,,
,,75,02_Frg_1_a_ROI.tif:2577-3588:1,14280,24.777,13,47,3546,2492,84,170,0.695,2.024,0.494,1,76,,ו,,,,,,4,,,,,
,,76,02_Frg_1_a_ROI.tif:2494-3491:1,51000,25.338,12,57,3416,2324,150,340,0.667,2.267,0.441,1,77,,ל,,,,,,4,,,,,
,,77,02_Frg_1_a_ROI.tif:2577-3355:1,27380,28.531,14,59,3263,2503,185,148,0.776,1.25,0.8,1,78,,20,,,,,,4,,,,,
,,78,02_Frg_1_a_ROI.tif:2573-3238:1,12180,22.883,10,42,3203,2486,70,174,0.643,2.486,0.402,1,79,,ו,,,,,,4,,,,,
,,79,02_Frg_1_a_ROI.tif:2572-3141:1,18648,24.914,11,43,3086,2488,111,168,0.753,1.514,0.661,1,80,,כ,,,,,,4,,,,,
,,80,02_Frg_1_a_ROI.tif:2488-3053:1,31616,27.784,13,56,3001,2336,104,304,0.597,2.923,0.342,1,81,,ל,,,,,,4,,,,,
,,81,02_Frg_1_a_ROI.tif:2560-2931:1,24764,27.793,12,64,2849,2485,164,151,0.784,1.086,0.921,1,82,,ה,,,,,,4,,,,,
,,82,02_Frg_1_a_ROI.tif:2563-2832:1,10500,29.296,17,65,2797,2488,70,150,0.682,2.143,0.467,1,83,,20,,,,,,4,,,,,
,,83,02_Frg_1_a_ROI.tif:2541-2766:1,16500,28.235,12,58,2711,2466,110,150,0.767,1.364,0.733,1,84,,י,,,,,,4,,,,,
,,84,02_Frg_1_a_ROI.tif:2537-2672:1,14700,26.729,10,58,2622,2464,100,147,0.757,1.47,0.68,1,85,,ע,,,,,,4,,,,,
,,85,02_Frg_1_a_ROI.tif:2559-2540:1,22922,29.606,10,63,2462,2486,157,146,0.784,1.075,0.93,1,86,,ש,,,,,,4,,,,,
,,86,02_Frg_1_a_ROI.tif:2551-2394:1,24160,27.374,6,66,2319,2471,151,160,0.785,1.06,0.944,1,87,,ה,,,,,,4,,,,,
,,87,02_Frg_1_a_ROI.tif:2866-4639:1,20492,59.358,7,99,4545,2812,188,109,0.73,1.725,0.58,1,88,,ה,,,,,,4,,damaged,,,
,,88,02_Frg_1_a_ROI.tif:2819-4472:1,21620,38.726,6,90,4426,2702,92,235,0.635,2.554,0.391,1,89,,20,,,,,,5,,,,,
,,89,02_Frg_1_a_ROI.tif:2875-4399:1,13622,59.244,9,111,4350,2806,98,139,0.762,1.418,0.705,1,89,,ל,,,,,,5,,damaged,,,
,,90,02_Frg_1_a_ROI.tif:2880-4275:1,25752,60.579,28,84,4188,2806,174,148,0.78,1.176,0.851,1,90,,י,,,,,,5,,damaged,,,
,,91,02_Frg_1_a_ROI.tif:2878-4157:1,12110,34.276,18,67,4122,2792,70,173,0.644,2.471,0.405,1,91,,20,,,,,,5,,,,,
,,92,02_Frg_1_a_ROI.tif:2875-4041:1,25420,37.747,19,64,3964,2793,155,164,0.785,1.058,0.945,1,92,,ו,,,,,,5,,,,,
,,93,02_Frg_1_a_ROI.tif:2875-3933:1,15840,36.132,19,69,3884,2795,99,160,0.742,1.616,0.619,1,93,,א,,,,,,5,,,,,
,,94,02_Frg_1_a_ROI.tif:2880-3834:1,21450,34.54,18,68,3769,2798,130,165,0.774,1.269,0.788,1,94,,ו,,,,,,5,,,,,
,,95,02_Frg_1_a_ROI.tif:2872-3730:1,14322,30.177,17,51,3684,2795,93,154,0.737,1.656,0.604,1,95,,ד,,,,,,5,,,,,
,,96,02_Frg_1_a_ROI.tif:2872-3644:1,18368,31.272,15,63,3588,2790,112,164,0.758,1.464,0.683,1,96,,י,,,,,,5,,,,,
,,97,02_Frg_1_a_ROI.tif:2878-3537:1,26568,30.642,15,63,3455,2797,164,162,0.785,1.012,0.988,1,97,,ע,,,,,,5,,,,,
,,98,02_Frg_1_a_ROI.tif:2885-3461:1,8246,26.951,18,53,3430,2819,62,133,0.681,2.145,0.466,1,98,,ה,,,,,,5,,,,,
,,99,02_Frg_1_a_ROI.tif:2833-3404:1,22968,26.643,13,58,3355,2717,99,232,0.659,2.343,0.427,1,99,,20,,,,,,5,,,,,
,,100,02_Frg_1_a_ROI.tif:2906-3326:1,15010,33.965,16,58,3279,2827,95,158,0.737,1.663,0.601,1,100,,ל,,,,,,5,,,,,
,,101,02_Frg_1_a_ROI.tif:2909-3222:1,28539,35.841,7,74,3147,2815,151,189,0.776,1.252,0.799,1,101,,כ,,,,,,5,,,,,
,,102,02_Frg_1_a_ROI.tif:2890-3037:1,22932,30.582,6,79,2974,2799,126,182,0.759,1.444,0.692,1,102,,ם,,,,,,5,,damaged,,,
,,103,02_Frg_1_a_ROI.tif:2892-2930:1,24628,22.835,6,74,2865,2798,131,188,0.76,1.435,0.697,1,103,,20,,,,,,5,,,,,
,,104,02_Frg_1_a_ROI.tif:3201-5155:1,20294,48.068,5,167,5086,3128,139,146,0.785,1.05,0.952,1,104,,מ,,,,,,5,,damaged,,,
,,105,02_Frg_1_a_ROI.tif:3196-5027:1,20592,60.267,7,96,4961,3118,132,156,0.78,1.182,0.846,1,105,,ח,,,,,,5,,damaged,,,
,,106,02_Frg_1_a_ROI.tif:3127-4929:1,32912,34.343,6,96,4869,2991,121,272,0.669,2.248,0.445,1,106,,20,,,,,,6,,,,,
,,107,02_Frg_1_a_ROI.tif:3196-4817:1,21888,48.642,6,89,4741,3124,152,144,0.785,1.056,0.947,1,107,,פ,,,,,,6,,damaged,,,
,,108,02_Frg_1_a_ROI.tif:3190-4713:1,13728,46.437,6,89,4665,3119,96,143,0.755,1.49,0.671,1,108,,ל,,,,,,6,,damaged,,,
,,109,02_Frg_1_a_ROI.tif:3198-4570:1,32900,58.838,7,95,4453,3128,235,140,0.735,1.679,0.596,1,109,,א,,,,,,6,,damaged,,,
,,110,02_Frg_1_a_ROI.tif:3019-4423:1,19845,44.833,7,85,4350,2952,147,135,0.784,1.089,0.918,1,110,,ו,,,,,,6,,damaged,,,
,,111,02_Frg_1_a_ROI.tif:3206-4392:1,20276,57.054,9,91,4324,3132,137,148,0.784,1.08,0.926,1,111,,20,,,,,,6,,,,,
,,112,02_Frg_1_a_ROI.tif:3215-4231:1,19895,50.675,19,76,4174,3129,115,173,0.754,1.504,0.665,1,112,,א,,,,,,6,,supralinear,,,
,,113,02_Frg_1_a_ROI.tif:3203-4144:1,17248,53.491,21,76,4088,3126,112,154,0.766,1.375,0.727,1,113,,ס,,,,,,6,,,,,
,,114,02_Frg_1_a_ROI.tif:3200-4042:1,16677,53.62,26,78,3988,3124,109,153,0.763,1.404,0.712,1,114,,פ,,,,,,6,,damaged,,,
,,115,02_Frg_1_a_ROI.tif:3212-3928:1,21744,50.855,16,83,3856,3137,144,151,0.785,1.049,0.954,1,115,,ר,,,,,,6,,damaged,,,
,,116,02_Frg_1_a_ROI.tif:3207-3802:1,18094,64.673,28,86,3748,3124,109,166,0.752,1.523,0.657,1,116,,ר,,,,,,6,,damaged,,,
,,117,02_Frg_1_a_ROI.tif:3097-3712:1,24196,45.216,23,80,3666,2966,92,263,0.603,2.859,0.35,1,117,,ה,,,,,,6,,damaged,,,
,,118,02_Frg_1_a_ROI.tif:3173-3638:1,17424,32.416,6,77,3589,3085,99,176,0.724,1.778,0.563,1,118,,20,,,,,,6,,,,,
,,119,02_Frg_1_a_ROI.tif:3464-5371:1,26226,43.844,5,96,5301,3371,141,186,0.771,1.319,0.758,1,119,,ל,,,,,,6,,damaged,,,
,,120,02_Frg_1_a_ROI.tif:3480-5271:1,14946,61.551,29,85,5224,3401,94,159,0.734,1.691,0.591,1,120,,כ,,,,,,6,,damaged,,,
,,121,02_Frg_1_a_ROI.tif:3499-5156:1,40247,55.896,16,93,5073,3379,167,241,0.76,1.443,0.693,1,121,,מ,,,,,,7,,damaged,,,
,,122,02_Frg_1_a_ROI.tif:3498-5009:1,23478,61.912,14,90,4945,3407,129,182,0.763,1.411,0.709,1,122,,י,,,,,,7,,,,,
,,123,02_Frg_1_a_ROI.tif:3480-4894:1,19276,57.958,23,85,4833,3401,122,158,0.772,1.295,0.772,1,123,,ם,,,,,,7,,damaged,,,
,,124,02_Frg_1_a_ROI.tif:3480-4747:1,30668,49.464,26,81,4654,3398,187,164,0.782,1.14,0.877,1,124,,20,,,,,,7,,,,,
,,125,02_Frg_1_a_ROI.tif:3480-4622:1,23701,48.243,27,79,4554,3394,137,173,0.775,1.263,0.792,1,125,,א,,,,,,7,,,,,
,,126,02_Frg_1_a_ROI.tif:3491-4438:1,24120,42.225,7,76,4371,3401,134,180,0.769,1.343,0.744,1,126,,ש,,,,,,7,,,,,
,,127,02_Frg_1_a_ROI.tif:3485-4328:1,13536,42.02,8,78,4281,3413,94,144,0.751,1.532,0.653,1,127,,ר,,,,,,7,,,,,
,,128,02_Frg_1_a_ROI.tif:3483-4156:1,31812,30.079,7,93,4036,3417,241,132,0.718,1.826,0.548,1,128,,20,,,,,,7,,,,,
,,129,02_Frg_1_a_ROI.tif:3421-3993:1,24115,33.254,7,87,3948,3289,91,265,0.598,2.912,0.343,1,129,,ח,,,,,,7,,damaged,,,
,,130,02_Frg_1_a_ROI.tif:3748-5312:1,19028,30.593,6,94,5241,3681,142,134,0.785,1.06,0.944,1,130,,י,,,,,,7,,damaged,,,
,,131,02_Frg_1_a_ROI.tif:3751-5179:1,22304,46.345,8,94,5097,3683,164,136,0.779,1.206,0.829,1,131,,20,,,,,,7,,,,,
,,132,02_Frg_1_a_ROI.tif:3767-5035:1,22656,31.678,7,82,4971,3679,128,177,0.765,1.383,0.723,1,132,,ל,,,,,,7,,damaged,,,
,,134,02_Frg_1_a_ROI.tif:2916-3124:1,20384,32.043,6,73,3075,2812,98,208,0.684,2.122,0.471,1,134,,ח,,,,,,8,,damaged,,,
,,135,02_Frg_1_a_ROI.tif:3481-4526:1,12728,49.947,8,84,4489,3395,74,172,0.661,2.324,0.43,1,135,,ק,,,,,,8,,damaged,,,
,,136,02_Frg_1_a_ROI.tif:1588-3266:4,700,49.723,3,135,3231,1583,70,10,0.344,7,0.143,1,,,—,,,,,,1,,lacuna,,,
